,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,DENSE_UNITS,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time
53,53,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,4,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.020270653198605833,0.08436899784307621,0.05684639257556653,8944,5061,1909.98
54,54,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.020234677893984067,0.08840535419340537,0.059405290572649344,8937,5058,1891.41
55,55,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.019774501939942662,0.08617018528944168,0.057968577466968256,8919,5058,1920.45
56,56,[],3,1,4,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.0204849526348879,0.08602692759803063,0.05800429258922593,9149,5070,1938.04
57,57,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,4,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.020469829383993735,0.08539529776447488,0.05757573101766809,8944,5061,1952.45
58,58,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.0193545483719569,0.08497424569750718,0.05700706426105778,8937,5058,1929.77
59,59,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,4,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.01991620226700909,0.0862088634363189,0.05794830774371509,8919,5058,1948.57
60,60,[],5,1,0,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00839903019804179,0.04609441473507395,0.030393793079314044,8905,5056,1030.87
61,61,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,0,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008695436904471575,0.049326049297055724,0.03259041240709553,8697,5045,1052.04
62,62,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007334991316998145,0.04285380206254487,0.02797386260384393,8690,5040,1015.25
63,63,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,0,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007435611141662993,0.04314198699119271,0.02813968035717699,8670,5040,1049.55
64,64,[],5,1,0,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008461519009134597,0.046903310339691535,0.030984846410550302,8905,5056,1070.72
65,65,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,0,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008944854027866182,0.04911227765388035,0.03266818553699545,8697,5045,1090.24
