counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,DENSE_UNITS,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
54,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017058684,0.081367401,486,318,19.04
55,[],3,1,0,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017788295,0.083958939,510,321,17.11
56,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,0,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017705613,0.084944676,510,321,18.47
57,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.01751399,0.084181153,490,318,18.28
58,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017188228,0.083144565,489,318,16.66
59,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,32,3,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017013782,0.082593509,486,318,18.33
60,[],3,1,1,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017432927,0.083178319,510,321,33.22
61,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,1,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017813052,0.086947086,510,321,35.25
62,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017128843,0.08305824,490,318,35.03
63,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,32,3,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017227713,0.083134714,489,318,32.76
