,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,LSTM1,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time,DEPTH
35,35,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019214649,0.08155397,0.054579562,8670,5040,1605.56,1
36,36,[],5,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.020983512,0.084807959,0.057126771,8905,5056,1809.81,1
37,37,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",5,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.020435212,0.083945118,0.056525592,8697,5045,1945.2,1
38,38,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019229266,0.081363006,0.054639812,8690,5040,1907,1
39,39,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,4,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019952856,0.082292586,0.055371452,8670,5040,1947.82,1
40,40,[],7,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009308523,0.049710982,0.032914488,8710,5042,558.77,1
41,41,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",7,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009504496,0.05298166,0.035223973,8497,5029,609.79,1
42,42,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008101932,0.045735594,0.029960758,8490,5022,565.83,1
43,43,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",7,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008015908,0.046560492,0.030446245,8468,5022,618.99,1
44,44,[],7,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009836111,0.052851688,0.03497357,8710,5042,890.36,1
45,45,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",7,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.010215144,0.05488276,0.036315237,8497,5029,948.35,1
