,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
45,45,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.0078059414528808095,0.045803619777470474,0.029548411157366897,0.0345783019831529,0.03791494172051518,4729,2677,235.6
46,46,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.007895159175470692,0.04675452705882371,0.030124469102450258,0.03520557684695676,0.03859223321752619,4719,2677,251.87
47,47,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008969665569088214,0.05000211784701863,0.03192354691198031,0.03738254608893906,0.04077225543951036,2419,1659,134.64
48,48,[],3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008087038140977014,0.045083073680140036,0.029358790366323734,0.03454028047104209,0.0382918881043051,4841,2684,249.19
49,49,"['DR_REGENM_10', 'RI_REGENM_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008155458413328896,0.04481386343769743,0.0292126769634489,0.034429582866995795,0.03822208006983056,4746,2676,246.23
50,50,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008848615510699704,0.05033830090415438,0.03283410681304361,0.0386314934863739,0.042836445801825676,4731,2510,252.73
51,51,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008230566544137851,0.04587900072902662,0.029849141510594066,0.03507682785729628,0.038877800547117196,4586,2654,245.07
52,52,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008547560688078912,0.047410797078549796,0.031043545546597544,0.03648872963111423,0.04048848598561168,4732,2679,263.3
53,53,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.007328023115177178,0.042656296861886,0.027355329481599383,0.03197256743303743,0.035037150873217265,4729,2677,245.32
54,54,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.007510527287039007,0.043784183308076347,0.028145201449155957,0.032879311985038615,0.03603277890121032,4719,2677,267.1
55,55,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,64,7,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008795042508047624,0.04908908251226797,0.03134036112693816,0.036470987323943986,0.03972160844281851,2419,1659,141.84
56,56,[],3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008132371941622269,0.045045586972977614,0.029328512275087006,0.03453721568007555,0.038298322289514485,4841,2684,233.81
57,57,"['DR_REGENM_10', 'RI_REGENM_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.008077618804428912,0.04505232284151678,0.029300351119351933,0.0344874796943593,0.038236580006243914,4746,2676,235.09
58,58,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.009173761718370758,0.05044437710404079,0.03294002824969744,0.03883239117141706,0.04292375403046607,4731,2510,239.0
59,59,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.00822186591232109,0.04622659983121603,0.03009416035363664,0.035326526752818194,0.03916523260786197,4586,2654,229.22
60,60,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,64,7,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.0001,0.00859858921984245,0.04761335719695409,0.031091139185267427,0.03655846114984465,0.04056798975899523,4732,2679,247.65
