,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,ACTIVATION1,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
74,74,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",5,1,4,haar,False,1,100,relu,0.2,60,relu,Adam,0.01748312816436063,0.08633259971701732,457,304,144.37
75,75,[],1,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.02643683911007051,0.11615648095052693,546,333,47.79
76,76,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.017978141677547063,0.08650913657943346,546,333,48.09
77,77,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.017295892387260446,0.08257681516531852,534,332,48.48
78,78,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.017203462752480587,0.08358014275873296,533,332,47.88
79,79,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,0,haar,False,2,100,relu,0.2,60,relu,Adam,0.01679873774516721,0.08199054343509304,532,332,51.31
80,80,[],1,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.02481686224782987,0.1125565403208603,546,333,77.99
81,81,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.01778736198034976,0.08862565481451225,546,333,77.65
82,82,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.017560192192888825,0.08407645231015495,534,332,78.27
83,83,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.017127552822495756,0.08345846140333352,533,332,77.87
84,84,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,1,haar,False,2,100,relu,0.2,60,relu,Adam,0.016615051765095604,0.08135995138310669,532,332,81.35
85,85,[],1,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.017843489364298373,0.08628390624714923,546,333,107.56
86,86,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.017828499892486624,0.08345374189477302,546,333,107.22
87,87,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.017686622355859737,0.08349137497783296,534,332,108.27
88,88,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,2,haar,False,2,100,relu,0.2,60,relu,Adam,0.01717915642444215,0.08367032985255012,533,332,111.88
