,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
43,43,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.019126630964560066,0.09114849440452688,260,182,32.55
44,44,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.0191426323436237,0.09343207725591662,260,182,32.16
45,45,"['DR_REGENM_10', 'RI_REGENM_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.017893920436280915,0.08575652701746783,536,331,56.69
46,46,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.01806118378782729,0.08540925194766807,534,315,57.29
47,47,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.017750186751290985,0.08442982085760962,510,327,56.12
48,48,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.016805137946100925,0.08093213271573893,534,332,57.93
49,49,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.017037689784549052,0.08091278201715084,533,332,56.69
50,50,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.016282540090980326,0.07870902086108081,532,332,58.1
51,51,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.016863861128516473,0.08212977849930714,532,332,60.08
52,52,[],1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.017784632542962548,0.08478276834224278,546,333,54.4
53,53,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.017829030177272345,0.0827004743920404,546,333,54.39
54,54,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.020109736704902403,0.09631398999281637,268,183,31.36
55,55,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.019972769785460972,0.09546837391389237,268,183,32.0
56,56,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.01933240596691104,0.09376187907709818,260,182,31.85
57,57,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.019427118662772913,0.09375783470144089,260,182,30.91
58,58,"['DR_REGENM_10', 'RI_REGENM_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.017882570848546026,0.08505969094231754,536,331,54.54
59,59,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.018028419506015386,0.08604848886261326,534,315,54.63
60,60,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.017480648432139558,0.08186167724899007,510,327,52.56
61,61,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.017091012316148846,0.08170327242529787,534,332,56.76
62,62,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.01702350738420718,0.0810319600172503,533,332,54.49
63,63,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.016640157224570393,0.08047684055487941,532,332,55.04
64,64,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,64,3,same,1,tanh,True,5,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.016795047874499064,0.08141105345524532,532,332,56.5
65,65,[],1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.017971027324703584,0.0847437346811491,546,333,53.92
66,66,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.01741161850871395,0.0835071017636227,546,333,54.64
67,67,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.020104842270447038,0.09509410574762689,268,183,31.3
68,68,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,7,False,1,False,1,60,tanh,0.2,100,relu,0.0005,0.020194525163887766,0.09520802328041404,268,183,31.71
