,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
38,38,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.012809851298479644,0.06649317172337868,0.04346561821205785,0.05107842410748829,0.05608479990395799,2338,1654,88.91
39,39,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.011336160696601726,0.06700725958505144,0.04400838185722661,0.05188130130565643,0.057434317614254674,4841,2684,156.22
40,40,[],3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.00846298683931282,0.046263455766275795,0.03023965807307662,0.03558724799074696,0.0396576450386517,4841,2684,141.63
41,41,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009449144359572434,0.05270344506432986,0.03382709452517138,0.03961936715578497,0.043368540555752615,2419,1659,84.6
42,42,"['DR_REGENM_10', 'RI_REGENM_10']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008418852528127933,0.04650434792236631,0.03031613680139863,0.03577070165553497,0.039554621470920565,4746,2676,141.98
43,43,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009935433653265872,0.05291523504866981,0.03474757996412415,0.04122334909278549,0.04579053760429078,4731,2510,150.56
44,44,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008939539209554245,0.04921284825530125,0.03229320290272219,0.038124850967338336,0.04247463979568964,4586,2654,139.23
45,45,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008845507505438322,0.04839229355221513,0.03164154435573027,0.03729181091300482,0.04135074146684015,4732,2679,156.34
46,46,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.00832383074654898,0.046996380566837095,0.030415058847370793,0.035681540957348504,0.03920020620027937,4729,2677,143.34
47,47,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008034849345791564,0.047723058295864304,0.030864299702804472,0.03618427777427429,0.03997187329774284,4719,2677,159.0
48,48,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.00955840960477853,0.05308894516722502,0.03408645734349017,0.03994596589537238,0.04354049037332325,2338,1654,88.28
49,49,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,32,5,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.010297908538698582,0.06454013075719556,0.042400346198865,0.04995948670363343,0.05522783160733782,4841,2684,157.24
50,50,[],3,32,5,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009886689385611575,0.05325894866895639,0.0347506755650738,0.04096965905667182,0.04520875931862318,4841,2684,142.42
51,51,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,5,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.01086336411197435,0.058063716230679276,0.03732710318730135,0.04363206996154572,0.047663228491279616,2419,1659,85.21
52,52,"['DR_REGENM_10', 'RI_REGENM_10']",3,32,5,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.00971949923141479,0.05295250961824572,0.03455159483373289,0.04070782208601977,0.044949072453715024,4746,2676,141.46
